MONTH,TSLA_WEB_SEARCH,TSLA_USD_CLOSE
01/06/2010,3,4.766
01/07/2010,3,3.988
01/08/2010,2,3.896
01/09/2010,2,4.082
01/10/2010,2,4.368
01/11/2010,2,7.066
01/12/2010,2,5.326
01/01/2011,3,4.82
01/02/2011,2,4.778
01/03/2011,3,5.55
01/04/2011,3,5.52
01/05/2011,2,6.028
01/06/2011,2,5.826
01/07/2011,2,5.634
01/08/2011,2,4.948
01/09/2011,2,4.878
01/10/2011,3,5.874
01/11/2011,2,6.548
01/12/2011,2,5.712
01/01/2012,2,5.814
01/02/2012,3,6.682
01/03/2012,3,7.448
01/04/2012,3,6.626
01/05/2012,3,5.9
01/06/2012,3,6.258
01/07/2012,3,5.484
01/08/2012,3,5.704
01/09/2012,3,5.856
01/10/2012,3,5.626
01/11/2012,4,6.764
01/12/2012,3,6.774
01/01/2013,3,7.502
01/02/2013,4,6.966
01/03/2013,4,7.578
01/04/2013,4,10.798
01/05/2013,6,19.552
01/06/2013,5,21.472
01/07/2013,5,26.856001
01/08/2013,7,33.799999
01/09/2013,6,38.674
01/10/2013,6,31.988001
01/11/2013,6,25.455999
01/12/2013,5,30.086
01/01/2014,5,36.282001
01/02/2014,6,48.962002
01/03/2014,6,41.689999
01/04/2014,6,41.577999
01/05/2014,6,41.554001
01/06/2014,6,48.012001
01/07/2014,7,44.66
01/08/2014,6,53.939999
01/09/2014,6,48.535999
01/10/2014,8,48.34
01/11/2014,6,48.903999
01/12/2014,6,44.481998
01/01/2015,7,40.720001
01/02/2015,7,40.667999
01/03/2015,7,37.754002
01/04/2015,7,45.209999
01/05/2015,10,50.16
01/06/2015,7,53.652
01/07/2015,8,53.23
01/08/2015,8,49.812
01/09/2015,9,49.68
01/10/2015,9,41.386002
01/11/2015,8,46.051998
01/12/2015,7,48.001999
01/01/2016,7,38.240002
01/02/2016,8,38.386002
01/03/2016,9,45.953999
01/04/2016,18,48.152
01/05/2016,9,44.646
01/06/2016,8,42.456001
01/07/2016,9,46.958
01/08/2016,8,42.402
01/09/2016,8,40.806
01/10/2016,10,39.546001
01/11/2016,9,37.880001
01/12/2016,9,42.737999
01/01/2017,9,50.386002
01/02/2017,9,49.998001
01/03/2017,9,55.66
01/04/2017,11,62.813999
01/05/2017,10,68.202003
01/06/2017,10,72.321999
01/07/2017,15,64.694
01/08/2017,12,71.18
01/09/2017,11,68.220001
01/10/2017,11,66.306
01/11/2017,16,61.77
01/12/2017,12,62.27
01/01/2018,12,70.862
01/02/2018,15,68.612
01/03/2018,11,53.226002
01/04/2018,12,58.779999
01/05/2018,12,56.945999
01/06/2018,11,68.589996
01/07/2018,12,59.627998
01/08/2018,14,60.332001
01/09/2018,14,52.953999
01/10/2018,14,67.463997
01/11/2018,11,70.096001
01/12/2018,12,66.559998
01/01/2019,12,61.403999
01/02/2019,12,63.976002
01/03/2019,17,55.972
01/04/2019,15,47.737999
01/05/2019,15,37.032001
01/06/2019,15,44.692001
01/07/2019,14,48.321999
01/08/2019,14,45.122002
01/09/2019,14,48.174
01/10/2019,15,62.984001
01/11/2019,30,65.987999
01/12/2019,19,83.666
01/01/2020,20,130.113998
01/02/2020,23,133.598007
01/03/2020,17,104.800003
01/04/2020,13,156.376007
01/05/2020,16,167
01/06/2020,17,215.962006
01/07/2020,24,286.152008
01/08/2020,23,498.320007
01/09/2020,31,407.339996
